id_partido,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,anio,total_goles,diferencia_goles,ganador
59,1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,1950,4,0,Empate
60,1950-06-28,Mexico,Yugoslavia,1,4,FIFA World Cup,Porto Alegre,Brazil,True,1950,5,3,Visitante
61,1950-06-29,Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,2,2,Visitante
62,1950-06-29,England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,1950,1,1,Visitante
63,1950-06-29,Paraguay,Sweden,2,2,FIFA World Cup,Curitiba,Brazil,True,1950,4,0,Empate
64,1950-07-01,Brazil,Yugoslavia,2,0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,2,2,Local
65,1950-07-02,Bolivia,Uruguay,0,8,FIFA World Cup,Belo Horizonte,Brazil,True,1950,8,8,Visitante
66,1950-07-02,Chile,United States,5,2,FIFA World Cup,Recife,Brazil,True,1950,7,3,Local
67,1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,1,1,Visitante
68,1950-07-02,Italy,Paraguay,2,0,FIFA World Cup,São Paulo,Brazil,True,1950,2,2,Local
69,1950-07-02,Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,True,1950,3,1,Visitante
70,1950-07-09,Brazil,Sweden,7,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,8,6,Local
71,1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,True,1950,4,0,Empate
72,1950-07-13,Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,7,5,Local
73,1950-07-13,Sweden,Uruguay,2,3,FIFA World Cup,São Paulo,Brazil,True,1950,5,1,Visitante
74,1950-07-16,Brazil,Uruguay,1,2,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,3,1,Visitante
75,1950-07-16,Spain,Sweden,1,3,FIFA World Cup,São Paulo,Brazil,True,1950,4,2,Visitante
76,1954-06-16,Austria,Scotland,1,0,FIFA World Cup,Zürich,Switzerland,True,1954,1,1,Local
77,1954-06-16,Brazil,Mexico,5,0,FIFA World Cup,Geneva,Switzerland,True,1954,5,5,Local
78,1954-06-16,Czechoslovakia,Uruguay,0,2,FIFA World Cup,Bern,Switzerland,True,1954,2,2,Visitante
79,1954-06-16,France,Yugoslavia,0,1,FIFA World Cup,Lausanne,Switzerland,True,1954,1,1,Visitante
80,1954-06-17,Belgium,England,4,4,FIFA World Cup,Basel,Switzerland,True,1954,8,0,Empate
81,1954-06-17,Germany,Turkey,4,1,FIFA World Cup,Bern,Switzerland,True,1954,5,3,Local
82,1954-06-17,Hungary,South Korea,9,0,FIFA World Cup,Zürich,Switzerland,True,1954,9,9,Local
83,1954-06-17,Switzerland,Italy,2,1,FIFA World Cup,Lausanne,Switzerland,False,1954,3,1,Local
84,1954-06-19,Austria,Czechoslovakia,5,0,FIFA World Cup,Zürich,Switzerland,True,1954,5,5,Local
85,1954-06-19,Brazil,Yugoslavia,1,1,FIFA World Cup,Lausanne,Switzerland,True,1954,2,0,Empate
86,1954-06-19,France,Mexico,3,2,FIFA World Cup,Geneva,Switzerland,True,1954,5,1,Local
87,1954-06-19,Scotland,Uruguay,0,7,FIFA World Cup,Basel,Switzerland,True,1954,7,7,Visitante
88,1954-06-20,Belgium,Italy,1,4,FIFA World Cup,Lugano,Switzerland,True,1954,5,3,Visitante
89,1954-06-20,Germany,Hungary,3,8,FIFA World Cup,Basel,Switzerland,True,1954,11,5,Visitante
90,1954-06-20,South Korea,Turkey,0,7,FIFA World Cup,Geneva,Switzerland,True,1954,7,7,Visitante
91,1954-06-20,Switzerland,England,0,2,FIFA World Cup,Bern,Switzerland,False,1954,2,2,Visitante
92,1954-06-23,Germany,Turkey,7,2,FIFA World Cup,Zürich,Switzerland,True,1954,9,5,Local
93,1954-06-23,Switzerland,Italy,4,1,FIFA World Cup,Basel,Switzerland,False,1954,5,3,Local
94,1954-06-26,England,Uruguay,2,4,FIFA World Cup,Basel,Switzerland,True,1954,6,2,Visitante
95,1954-06-26,Switzerland,Austria,5,7,FIFA World Cup,Lausanne,Switzerland,False,1954,12,2,Visitante
96,1954-06-27,Brazil,Hungary,2,4,FIFA World Cup,Bern,Switzerland,True,1954,6,2,Visitante
97,1954-06-27,Germany,Yugoslavia,2,0,FIFA World Cup,Geneva,Switzerland,True,1954,2,2,Local
98,1954-06-30,Austria,Germany,1,6,FIFA World Cup,Basel,Switzerland,True,1954,7,5,Visitante
99,1954-06-30,Hungary,Uruguay,4,2,FIFA World Cup,Lausanne,Switzerland,True,1954,6,2,Local
100,1954-07-03,Austria,Uruguay,3,1,FIFA World Cup,Zürich,Switzerland,True,1954,4,2,Local
101,1954-07-04,Germany,Hungary,3,2,FIFA World Cup,Bern,Switzerland,True,1954,5,1,Local
102,1958-06-08,Argentina,Germany,1,3,FIFA World Cup,Malmö,Sweden,True,1958,4,2,Visitante
103,1958-06-08,Austria,Brazil,0,3,FIFA World Cup,Uddevalla,Sweden,True,1958,3,3,Visitante
104,1958-06-08,Czechoslovakia,Northern Ireland,0,1,FIFA World Cup,Halmstad,Sweden,True,1958,1,1,Visitante
105,1958-06-08,England,Russia,2,2,FIFA World Cup,Gothenburg,Sweden,True,1958,4,0,Empate
106,1958-06-08,France,Paraguay,7,3,FIFA World Cup,Norrköping,Sweden,True,1958,10,4,Local
107,1958-06-08,Hungary,Wales,1,1,FIFA World Cup,Sandviken,Sweden,True,1958,2,0,Empate
108,1958-06-08,Scotland,Yugoslavia,1,1,FIFA World Cup,Västerås,Sweden,True,1958,2,0,Empate
109,1958-06-08,Sweden,Mexico,3,0,FIFA World Cup,Solna,Sweden,False,1958,3,3,Local
110,1958-06-11,Argentina,Northern Ireland,3,1,FIFA World Cup,Halmstad,Sweden,True,1958,4,2,Local
111,1958-06-11,Austria,Russia,0,2,FIFA World Cup,Borås,Sweden,True,1958,2,2,Visitante
112,1958-06-11,Brazil,England,0,0,FIFA World Cup,Gothenburg,Sweden,True,1958,0,0,Empate
113,1958-06-11,Czechoslovakia,Germany,2,2,FIFA World Cup,Helsingborg,Sweden,True,1958,4,0,Empate
114,1958-06-11,France,Yugoslavia,2,3,FIFA World Cup,Västerås,Sweden,True,1958,5,1,Visitante
115,1958-06-11,Mexico,Wales,1,1,FIFA World Cup,Solna,Sweden,True,1958,2,0,Empate
116,1958-06-11,Paraguay,Scotland,3,2,FIFA World Cup,Norrköping,Sweden,True,1958,5,1,Local
117,1958-06-12,Sweden,Hungary,2,1,FIFA World Cup,Solna,Sweden,False,1958,3,1,Local
118,1958-06-15,Argentina,Czechoslovakia,1,6,FIFA World Cup,Helsingborg,Sweden,True,1958,7,5,Visitante
119,1958-06-15,Austria,England,2,2,FIFA World Cup,Borås,Sweden,True,1958,4,0,Empate
120,1958-06-15,Brazil,Russia,2,0,FIFA World Cup,Gothenburg,Sweden,True,1958,2,2,Local
121,1958-06-15,France,Scotland,2,1,FIFA World Cup,Örebro,Sweden,True,1958,3,1,Local
122,1958-06-15,Germany,Northern Ireland,2,2,FIFA World Cup,Malmö,Sweden,True,1958,4,0,Empate
123,1958-06-15,Hungary,Mexico,4,0,FIFA World Cup,Sandviken,Sweden,True,1958,4,4,Local
124,1958-06-15,Paraguay,Yugoslavia,3,3,FIFA World Cup,Eskilstuna,Sweden,True,1958,6,0,Empate
125,1958-06-15,Sweden,Wales,0,0,FIFA World Cup,Solna,Sweden,False,1958,0,0,Empate
126,1958-06-17,Czechoslovakia,Northern Ireland,1,2,FIFA World Cup,Malmö,Sweden,True,1958,3,1,Visitante
127,1958-06-17,England,Russia,0,1,FIFA World Cup,Gothenburg,Sweden,True,1958,1,1,Visitante
128,1958-06-17,Hungary,Wales,1,2,FIFA World Cup,Solna,Sweden,True,1958,3,1,Visitante
129,1958-06-19,Brazil,Wales,1,0,FIFA World Cup,Gothenburg,Sweden,True,1958,1,1,Local
130,1958-06-19,France,Northern Ireland,4,0,FIFA World Cup,Norrköping,Sweden,True,1958,4,4,Local
131,1958-06-19,Germany,Yugoslavia,1,0,FIFA World Cup,Malmö,Sweden,True,1958,1,1,Local
132,1958-06-19,Sweden,Russia,2,0,FIFA World Cup,Solna,Sweden,False,1958,2,2,Local
133,1958-06-24,Brazil,France,5,2,FIFA World Cup,Solna,Sweden,True,1958,7,3,Local
134,1958-06-24,Sweden,Germany,3,1,FIFA World Cup,Gothenburg,Sweden,False,1958,4,2,Local
135,1958-06-28,France,Germany,6,3,FIFA World Cup,Gothenburg,Sweden,True,1958,9,3,Local
136,1958-06-29,Sweden,Brazil,2,5,FIFA World Cup,Solna,Sweden,False,1958,7,3,Visitante
137,1962-05-30,Argentina,Bulgaria,1,0,FIFA World Cup,Rancagua,Chile,True,1962,1,1,Local
138,1962-05-30,Brazil,Mexico,2,0,FIFA World Cup,Viña del Mar,Chile,True,1962,2,2,Local
139,1962-05-30,Chile,Switzerland,3,1,FIFA World Cup,Santiago,Chile,False,1962,4,2,Local
140,1962-05-30,Colombia,Uruguay,1,2,FIFA World Cup,Arica,Chile,True,1962,3,1,Visitante
141,1962-05-31,Czechoslovakia,Spain,1,0,FIFA World Cup,Viña del Mar,Chile,True,1962,1,1,Local
142,1962-05-31,England,Hungary,1,2,FIFA World Cup,Rancagua,Chile,True,1962,3,1,Visitante
143,1962-05-31,Germany,Italy,0,0,FIFA World Cup,Santiago,Chile,True,1962,0,0,Empate
144,1962-05-31,Russia,Yugoslavia,2,0,FIFA World Cup,Arica,Chile,True,1962,2,2,Local
145,1962-06-02,Argentina,England,1,3,FIFA World Cup,Rancagua,Chile,True,1962,4,2,Visitante
146,1962-06-02,Brazil,Czechoslovakia,0,0,FIFA World Cup,Viña del Mar,Chile,True,1962,0,0,Empate
147,1962-06-02,Chile,Italy,2,0,FIFA World Cup,Santiago,Chile,False,1962,2,2,Local
148,1962-06-02,Uruguay,Yugoslavia,1,3,FIFA World Cup,Arica,Chile,True,1962,4,2,Visitante
149,1962-06-03,Bulgaria,Hungary,1,6,FIFA World Cup,Rancagua,Chile,True,1962,7,5,Visitante
150,1962-06-03,Colombia,Russia,4,4,FIFA World Cup,Arica,Chile,True,1962,8,0,Empate
151,1962-06-03,Germany,Switzerland,2,1,FIFA World Cup,Santiago,Chile,True,1962,3,1,Local
152,1962-06-03,Mexico,Spain,0,1,FIFA World Cup,Viña del Mar,Chile,True,1962,1,1,Visitante
153,1962-06-06,Argentina,Hungary,0,0,FIFA World Cup,Rancagua,Chile,True,1962,0,0,Empate
154,1962-06-06,Brazil,Spain,2,1,FIFA World Cup,Viña del Mar,Chile,True,1962,3,1,Local
155,1962-06-06,Chile,Germany,0,2,FIFA World Cup,Santiago,Chile,False,1962,2,2,Visitante
156,1962-06-06,Russia,Uruguay,2,1,FIFA World Cup,Arica,Chile,True,1962,3,1,Local
157,1962-06-07,Bulgaria,England,0,0,FIFA World Cup,Rancagua,Chile,True,1962,0,0,Empate
158,1962-06-07,Colombia,Yugoslavia,0,5,FIFA World Cup,Arica,Chile,True,1962,5,5,Visitante
159,1962-06-07,Czechoslovakia,Mexico,1,3,FIFA World Cup,Viña del Mar,Chile,True,1962,4,2,Visitante
160,1962-06-07,Italy,Switzerland,3,0,FIFA World Cup,Santiago,Chile,True,1962,3,3,Local
161,1962-06-10,Brazil,England,3,1,FIFA World Cup,Viña del Mar,Chile,True,1962,4,2,Local
162,1962-06-10,Chile,Russia,2,1,FIFA World Cup,Arica,Chile,False,1962,3,1,Local
163,1962-06-10,Czechoslovakia,Hungary,1,0,FIFA World Cup,Rancagua,Chile,True,1962,1,1,Local
